2MASS%20J06023672+0904237,DA
2MASS%20J06214164-4016187,DZ
2MASS%20J06313916+8228279,DA+M
2MASS%20J06322939+2230050,DA
2MASS%20J06421272+3816390,DA+M
2MASS%20J06443019+2731115,DA
2MASS%20J06472372+8407234,DA+M
2MASS%20J06481277+3810058,DA+M
2MASS%20J06503681+1657538,DA
2MASS%20J06533021-3954292,DA
2MASS%20J06533533-3955335,DA
2MASS%20J06553850+5920276,DA+M
2MASS%20J07033689+3851423,DA+M
2MASS%20J07085228-6706314,DC
2MASS%20J07111440-2518152,DA
2MASS%20J07130971+4012495,DA+M
2MASS%20J07213060+3742287,DA+M
2MASS%20J07225106+3859446,DA+M
2MASS%20J07254388+4145187,DA+M
2MASS%20J07263538+3225544,DA+M
2MASS%20J07292074+4304109,DA+M
2MASS%20J07305983+1440523,DA+M
2MASS%20J07344565+1554488,DA+M
2MASS%20J07345592+4105374,DA+M
2MASS%20J07353430+6506487,DA+M
2MASS%20J07372134+4641369,DA+M
2MASS%20J07390694+2743539,DA+M
2MASS%20J07402413+2029372,DA
2MASS%20J07415434+3808502,DA+M
2MASS%20J07430194+4106554,DA+M
2MASS%20J07432963+2835280,DA+M
2MASS%20J07435268+3225474,DA+M
2MASS%20J07463208+1819111,DA+M
2MASS%20J07464259+1800217,DA
2MASS%20J07473056+4304035,DA+M
2MASS%20J07473355+4720043,DA+M
2MASS%20J07475875+2229422,DA+M
2MASS%20J07484570+1802405,DA+M
2MASS%20J07485048+3019450,DA
2MASS%20J07500557+3933014,DA+M
2MASS%20J07500993+3816415,DA+M
2MASS%20J07505185+0850201,DA+M
2MASS%20J07514576+2711210,DA+M
2MASS%20J07522315+4332122,DA+M
2MASS%20J07531467+1909261,DA+M
2MASS%20J07532593+1641329,DA+M
2MASS%20J07535663-2524016,DA
2MASS%20J07535949+1754457,DA+M
2MASS%20J07545584+2947595,DA+M
2MASS%20J07550868+1226011,DA+M
2MASS%20J07551941+4800335,DA
